Drug1,Drug2,Cell_Line,Senstivity,Synergy,Fold
GELDANAMYCIN,TOPOTECAN,ZR751,33.76015,2.712490394,3
GELDANAMYCIN,TOPOTECAN,VCAP,14.14225,2.9614133,3
GELDANAMYCIN,TOPOTECAN,UWB1289,40.75255,16.96100514,3
GELDANAMYCIN,TOPOTECAN,UACC62,34.9289,-9.436397961,3
GELDANAMYCIN,TOPOTECAN,T47D,24.46555,7.920765601,3
GELDANAMYCIN,TOPOTECAN,SW837,31.33605,13.63947044,3
GELDANAMYCIN,TOPOTECAN,SW620,44.44065,18.55048928,3
GELDANAMYCIN,TOPOTECAN,SKOV3,35.79495,-2.276912987,3
GELDANAMYCIN,TOPOTECAN,SKMES1,36.40475,-15.97279372,3
GELDANAMYCIN,TOPOTECAN,RPMI7951,41.33795,-2.583781052,3
GELDANAMYCIN,TOPOTECAN,RKO,31.89725,-10.70715216,3
GELDANAMYCIN,TOPOTECAN,PA1,42.9976,-11.22419818,3
GELDANAMYCIN,TOPOTECAN,OVCAR3,33.5021,18.44792539,3
GELDANAMYCIN,TOPOTECAN,OV90,37.81465,-8.437739934,3
GELDANAMYCIN,TOPOTECAN,NCIH520,32.44525,12.7176527,3
GELDANAMYCIN,TOPOTECAN,NCIH460,39.5166,-23.95784414,3
GELDANAMYCIN,TOPOTECAN,NCIH23,39.70395,-17.97647101,3
GELDANAMYCIN,TOPOTECAN,NCIH2122,38.96135,-6.216653629,3
GELDANAMYCIN,TOPOTECAN,NCIH1650,31.1542,-15.30165422,3
GELDANAMYCIN,TOPOTECAN,MSTO,38.52285,-14.63725658,3
GELDANAMYCIN,TOPOTECAN,MDAMB436,30.77975,-1.484816029,3
GELDANAMYCIN,TOPOTECAN,LOVO,29.44135,-5.569631965,3
GELDANAMYCIN,TOPOTECAN,LNCAP,28.38595,-5.369615006,3
GELDANAMYCIN,TOPOTECAN,KPL1,24.19255,17.59901776,3
GELDANAMYCIN,TOPOTECAN,HT29,44.1494,-2.196506457,3
GELDANAMYCIN,TOPOTECAN,HT144,27.90795,-1.170588908,3
GELDANAMYCIN,TOPOTECAN,HCT116,29.1275,-1.188891298,3
GELDANAMYCIN,TOPOTECAN,ES2,38.83005,9.202873592,3
GELDANAMYCIN,TOPOTECAN,EFM192B,29.9673,-16.56625305,3
GELDANAMYCIN,TOPOTECAN,DLD1,35.5838,17.72230415,3
GELDANAMYCIN,TOPOTECAN,COLO320DM,18.6484,6.911471019,3
GELDANAMYCIN,TOPOTECAN,CAOV3,41.76425,-2.912022437,3
